Source,Headline,URL
CNN Business,CNN values your feedback,N/A
Live Mint,"Crime against women unpardonable sin, guilty shouldn’t be spared: PM Modi",https://www.livemint.com/news/india/strengthening-laws-to-ensure-stringent-punishment-for-those-perpetrating-crimes-against-women-pm-modi-jalgaon-11724575267727.html
Live Mint,"Market capitalisation of 9 of top 10 valued firms surges by  ₹95,522 crore",https://www.livemint.com/market/stock-market-news/market-capitalisation-of-9-of-top-10-valued-firms-surges-by-95-522-crore-reliance-tcs-among-top-gainers-11724572920990.html
Live Mint,Is Indian stock market closed tomorrow for Janmashtami?,https://www.livemint.com/market/stock-market-news/stock-market-holidays-is-indian-stock-market-closed-on-monday-for-janmashtami-2024-date-11724461838029.html
Live Mint,"IPOs this week: 9 companies expected to raise over  ₹4,000 crore",https://www.livemint.com/market/ipo/ipo-this-week-9-companies-including-3-mainboard-listings-and-6-smes-to-list-expected-to-raise-over-rs-4-000-crore-11724557298608.html
Live Mint,"‘Amit Shah forced everyone to read our election manifesto,’ says Omar Abdullah",https://www.livemint.com/politics/news/jk-assembly-polls-amit-shah-forced-everyone-to-read-our-election-manifesto-the-sad-part-is-says-omar-abdullah-11724576422244.html
Live Mint,Virat Kohli lauds ‘fearless’ Shikhar Dhawan as ’Gabbar’ announces retirement,https://www.livemint.com/sports/cricket-news/virat-kohli-lauds-fearless-shikhar-dhawan-as-gabbar-announces-retirement-your-smile-will-be-missed-11724570742740.html
Live Mint,Why the Chinese EV sector is not a ‘footnote’,https://www.livemint.com//auto-news/ola-electric-bhavish-aggarwal-evs-electric-vehicles-india-chinese-evs-byd-tvs-motor-two-wheelers-electric-cars-ice-cars-11724563173073.html
Live Mint,India’s paralympian stars target new heights in Paris,https://www.livemint.com//mint-lounge/ideas/paris-paralympic-games-2024-indian-team-11724510621345.html
Live Mint,Meet the bar person who perfects your drinking experience,https://www.livemint.com/mint-lounge/food/bartender-interview-vishal-kumar-windmills-bengaluru-11724578719412.html
Live Mint,Finding the right click: Should you buy a camera in 2024?,https://www.livemint.com/mint-lounge/business-of-life/dslr-camera-smartphone-photography-technology-2024-11724527907181.html
Live Mint,India’s paralympian stars target new heights in Paris,https://www.livemint.com/mint-lounge/ideas/paris-paralympic-games-2024-indian-team-11724510621345.html
Live Mint,5 great compound exercises that build strength and burn fat,https://www.livemint.com/mint-lounge/wellness/fitness-workout-compound-exercises-lunges-11724429920094.html
Live Mint,"India, Australia conclude tenth round of trade talks, next meeting in November",https://www.livemint.com/news/india/india-australia-conclude-tenth-round-of-trade-talks-next-meeting-in-november-11724576942662.html
Live Mint,"Israel attacks Lebanon with 100 jets, Hezbollah replies with 320 rockets | 10 p",https://www.livemint.com/news/world/israel-attacks-lebanon-with-100-jets-hezbollah-replies-with-320-rockets-un-warns-against-escalation-11724578504167.html
Live Mint,Telangana CM Revanth Reddy’s warning amid action on Nagarjuna’s convention hall,https://www.livemint.com/news/india/telangana-cm-revanth-reddys-warning-amid-action-on-nagarjuna-s-convention-hall-says-will-crush-lake-encroachments-11724580087236.html
Live Mint,Congress chief Mallikarjun Kharge takes jibe at Modi govt over UPS scheme,https://www.livemint.com/news/india/u-in-ups-stands-for-congress-chief-mallikarjun-kharge-takes-jibe-at-modi-govt-over-ups-scheme-11724580472407.html
Live Mint,Why the Chinese EV sector is not a ‘footnote’,https://www.livemint.com/auto-news/ola-electric-bhavish-aggarwal-evs-electric-vehicles-india-chinese-evs-byd-tvs-motor-two-wheelers-electric-cars-ice-cars-11724563173073.html
Live Mint,The unravelling of a financial titan: Ravi Parthasarathy and the IL&FS scandal,https://www.livemint.com/opinion/online-views/ravi-parthasarathy-il-fs-vijay-mallya-jet-airways-naresh-goyal-satyam-computers-adia-11724316384473.html
Live Mint,How digital savvy apparel brands are scaling without external capital,https://www.livemint.com/companies/start-ups/digital-shopping-apparel-brands-venture-capital-online-channels-instagram-suta-mulmul-purplle-licious-myntra-11724386095647.html
Live Mint,"SpiceJet’s path to recovery: A tough, long climb to reclaim market share",https://www.livemint.com/companies/spicejet-recovery-challenges-market-share-decline-financial-struggles-legal-battles-fleet-expansion-grounded-aircraft-11724395467422.html
Live Mint,"The week in charts: Rupee, Q1 earnings, Mpox scare",https://www.livemint.com/news/the-week-in-charts-rupee-q1-earnings-mpox-scare-11724321726260.html
