Source,Headline,URL,Label
CNN Business,CNN values your feedback,N/A,general
Live Mint,Foxconn invested $1.4 billion in India till date; CEO says ‘we will grow..’,https://www.livemint.com/companies/news/foxconn-has-invested-1-4-billion-in-indian-business-over-10-billion-business-size-in-2024-11723979397992.html,stocks
Live Mint,"Wall Street week ahead: Focus on Jackson Hole Symposium, Jerome Powell speech",https://www.livemint.com/market/stock-market-news/wall-street-week-ahead-focus-on-jackson-hole-symposium-jerome-powell-speech-11723992016932.html,general
Live Mint,Zomato’s Deepinder Goyal promises to remove AI-Generated food image from menus,https://www.livemint.com/companies/news/zomatos-deepinder-goyal-promises-to-remove-ai-generated-food-image-from-menus-says-leads-to-breach-of-trust-11723982901271.html,general
Live Mint,Indian Coast Guard Director General Rakesh Pal dies after heart attack,https://www.livemint.com/news/india/indian-coast-guard-director-general-rakesh-pal-dies-after-cardiac-arrest-11723994367528.html,general
Live Mint,"’Her pants were open, hand…’: Deceased doctor’s mother recalls horrific details",https://www.livemint.com/news/india/kolkata-doctor-rape-murder-mother-horrific-details-police-rg-kar-medical-college-and-hospital-mamata-banerjee-pants-open-11723988467499.html,general
Live Mint,Buy or sell: Ganesh Dongre recommends three stocks for Monday — August 18,https://www.livemint.com/market/stock-market-news/buy-or-sell-bata-tata-chemicals-power-grid-ganesh-dongre-recommends-three-stocks-for-monday-11723978695098.html,stocks
Live Mint,Meet lifestyle managers of the rich and too-busy,https://www.livemint.com//mint-lounge/style/lifestyle-managers-ultra-rich-indians-concierge-services-11723894428531.html,general
Live Mint,China should consider setting a formal inflation target,https://www.livemint.com//opinion/online-views/chinese-central-bank-inflation-targetting-deflation-price-stability-consumer-price-increase-bond-market-rally-us-fed-11723973087978.html,stocks
Live Mint,Hair loss in youngsters: The whys and ways to treat the problem,https://www.livemint.com/mint-lounge/wellness/androgenetic-alopecia-hair-loss-in-youngsters-iceberg-phenomenon-minoxidil-11723909608450.html,general
