Source,Headline,URL,Label,result
Live Mint,"Market capitalisation of 9 of top 10 valued firms surges by  ₹95,522 crore",https://www.livemint.com/market/stock-market-news/market-capitalisation-of-9-of-top-10-valued-firms-surges-by-95-522-crore-reliance-tcs-among-top-gainers-11724572920990.html,stocks,Hold/No action
Live Mint,Is Indian stock market closed tomorrow for Janmashtami?,https://www.livemint.com/market/stock-market-news/stock-market-holidays-is-indian-stock-market-closed-on-monday-for-janmashtami-2024-date-11724461838029.html,stocks,Hold/No action
Live Mint,"IPOs this week: 9 companies expected to raise over  ₹4,000 crore",https://www.livemint.com/market/ipo/ipo-this-week-9-companies-including-3-mainboard-listings-and-6-smes-to-list-expected-to-raise-over-rs-4-000-crore-11724557298608.html,stocks,Hold/No action
Live Mint,Finding the right click: Should you buy a camera in 2024?,https://www.livemint.com/mint-lounge/business-of-life/dslr-camera-smartphone-photography-technology-2024-11724527907181.html,stocks,Buy shares of the company
Live Mint,How digital savvy apparel brands are scaling without external capital,https://www.livemint.com/companies/start-ups/digital-shopping-apparel-brands-venture-capital-online-channels-instagram-suta-mulmul-purplle-licious-myntra-11724386095647.html,stocks,Hold/No action
Live Mint,"SpiceJet’s path to recovery: A tough, long climb to reclaim market share",https://www.livemint.com/companies/spicejet-recovery-challenges-market-share-decline-financial-struggles-legal-battles-fleet-expansion-grounded-aircraft-11724395467422.html,stocks,Hold/No action
Live Mint,"The week in charts: Rupee, Q1 earnings, Mpox scare",https://www.livemint.com/news/the-week-in-charts-rupee-q1-earnings-mpox-scare-11724321726260.html,stocks,Hold/No action
Live Mint,The Hyundai Motor IPO: Why the valuations have taken a reality check,https://www.livemint.com/companies/the-hyundai-motor-ipo-why-the-valuations-have-taken-a-reality-check-11724239860207.html,stocks,Hold/No action
Live Mint,"Not upset about MPC view, flexible inflation targeting has helped: J.R. Varma",https://www.livemint.com/news/india/mpc-jayanth-r-varma-dissenter-monetary-policy-stance-repo-rate-cut-inflation-gdp-11724419978668.html,stocks,Hold/No action
Live Mint,Think big and raise capital early: Fractal’s Srikanth to entrepreneurs,https://www.livemint.com/companies/people/fractal-analytics-srikanth-velamakanni-artificial-intelligence-data-mba-entrepreneurship-startups-funding-11724413625397.html,stocks,Hold/No action
Live Mint,Mint Explainer: Sebi’s RHFL crackdown—Why Anil Ambani and others were held accountable,https://www.livemint.com/companies/sebi-probe-anil-ambani-ban-securities-market-rhfl-fund-diversion-loan-scam-corporate-governance-11724413999518.html,stocks,Hold/No action
Live Mint,Most PSU stocks are running out of steam. These are the exceptions.,https://www.livemint.com/market/stock-market-news/psu-stocks-psu-valuations-bse-psu-index-beml-cochin-shipyard-bharat-dynamics-coal-india-ntpc-hpcl-ongc-11724386078928.html,stocks,Hold/No action
Live Mint,"Drowning in debt at 32, confessions of a failed options trader",https://www.livemint.com/money/personal-finance/fo-futures-options-trader-sebi-share-market-stocks-financial-loss-loans-11724318066966.html,stocks,Hold/No action
Live Mint,Adani family looks to raise $3.6 bn via sales of promoter stakes as shares of group firms skyrocket,https://www.livemint.com/companies/news/adani-family-looks-to-raise-3-6-bn-via-sales-of-promoter-stakes-as-shares-of-group-firms-skyrocket-11724340339603.html,stocks,Hold/No action
Live Mint,"Indian companies junk private deals, take the IPO route for higher valuations",https://www.livemint.com/companies/news/indian-companies-junk-private-deals-take-the-ipo-route-for-higher-valuations-11724327512562.html,stocks,Hold/No action
Live Mint,"NGOs eye social stock exchanges, but compliance barriers remain",https://www.livemint.com/market/ngos-social-stock-exchanges-nse-bse-sebi-philanthropy-non-profit-social-cause-donate-11724315576896.html,stocks,Hold/No action
Live Mint,"T20 league, Legends League Cricket secures  ₹39 crore Investment from Dubai-based real estate company",https://www.livemint.com/sports/cricket-news/t20-league-legends-league-cricket-secures-39-crore-investment-from-dubai-real-estate-company-international-cricketers-11724304798378.html,stocks,Buy shares of the company
Live Mint,Some retail stocks are defying gravity. It’s best to avoid them.,https://www.livemint.com/market/stock-market-news/retail-stocks-retail-space-organised-retail-global-retail-market-operating-margins-retail-industry-trent-zudio-11724315387448.html,stocks,Hold/No action
Live Mint,Zerodha’s referral stoppage exposes the dark side of influencer marketing,https://www.livemint.com/money/personal-finance/zerodha-referral-programme-affiliate-marketing-finfluencers-nse-sebi-nithin-kamath-authorised-persons-11724249184960.html,stocks,Hold/No action
Live Mint,Could ‘two-factor authentication’ in India’s fiscal policy be a masterstroke?,https://www.livemint.com/economy/fiscal-deficit-fiscal-policy-government-debt-debt-to-gdp-ratio-fiscal-deficit-target-sovereign-rating-frbm-act-11724218502662.html,stocks,Hold/No action
Live Mint,Market constituents hope for change in Sebi’s derivatives plans,https://www.livemint.com/market/market-constituents-hope-for-change-in-sebi-derivatives-plans-11724161870672.html,stocks,Hold/No action
Live Mint,Foreign PE funds make a beeline for India as global growth falters,https://www.livemint.com/industry/foreign-pe-funds-make-a-beeline-for-india-as-global-growth-falters-11724151364587.html,stocks,Buy shares of the company
Live Mint,The ghost that haunts the global oil markets,https://www.livemint.com/market/commodities/global-oil-markets-oil-and-gas-commodity-markets-oil-trading-ghost-markets-off-the-books-oil-opec-russian-oil-11724158855607.html,stocks,Hold/No action
Live Mint,Should PMS investors switch to focused funds after new tax changes?,https://www.livemint.com/money/personal-finance/portfolio-management-pms-mutual-fund-mf-investors-focused-funds-tax-changes-budget-capital-gains-tax-sebi-11724141103683.html,stocks,Buy shares of the company
Live Mint,Could Sebi’s new curbs for investment advisers choke financial planning in India?,https://www.livemint.com/money/personal-finance/investment-advisors-financial-planning-sebi-guidelines-ria-regulations-ia-licence-sebi-consultation-paper-11724130143473.html,stocks,Buy shares of the company
Live Mint,"Axis Bank to sell stake in finance unit, looks at listing too",https://www.livemint.com/companies/axis-bank-axis-finance-divestment-rbi-axis-bank-divestment-ceo-amitabh-chaudhry-hdfc-hdb-financial-ipo-11724069057020.html,stocks,Sell shares of the company
Live Mint,"Metro Brands is losing its mojo, but its stock remains richly valued",https://www.livemint.com/market/mark-to-market/metro-brands-share-price-footwear-retailer-june-quarter-expansion-plans-weakening-demand-revenue-growth-new-stores-11724134361323.html,stocks,Hold/No action
Live Mint,"Pre-IPO share sales surge as investors, startups reap rewards",https://www.livemint.com/market/startup-investors-investment-sales-secondary-market-sales-pre-ipo-deals-firstcry-ola-electric-purplle-lenskart-11723975406101.html,stocks,Buy shares of the company
Live Mint,These proxy small cap stocks could help you ride the electronics wave,https://www.livemint.com/market/stock-market-news/air-conditioner-makers-electronics-manufacturing-proxy-investing-small-cap-stocks-voltas-blue-star-pli-scheme-11724133065293.html,stocks,Hold/No action
Live Mint,"Firms look to secure women’s safety with timings, transport, SOS options",https://www.livemint.com/industry/human-resource/firms-look-to-secure-womens-safety-with-timings-transport-sos-options-11724068254634.html,stocks,Hold/No action
Live Mint,Getting Pine Labs IPO-ready: What ‘fintech bully’ Amrish Rau can learn from Paytm,https://www.livemint.com/companies/people/pine-labs-amrish-rau-ipo-fintech-paytm-payu-phonepe-razorpay-cred-upi-payments-peak-xv-partners-sequoia-shailendra-singh-11724068758083.html,stocks,Hold/No action
Live Mint,"Cement prices are at a multi-year low, and there’s more earnings pain ahead",https://www.livemint.com/market/mark-to-market/cement-sector-cement-prices-june-quarter-cement-sales-earnings-downgrades-market-share-realisations-volume-growth-11724055610598.html,stocks,Hold/No action
Live Mint,Morgan Stanley in talks to exit investment in Manna Foods,https://www.livemint.com/companies/news/morgan-stanley-manna-foods-private-equity-indian-health-food-industry-southern-health-foods-fmcg-soulfull-tata-11724039933481.html,stocks,Buy shares of the company
Live Mint,Sebi ramps up investigations amid market turmoil,https://www.livemint.com/market/stock-market-news/sebi-ramps-up-investigations-amid-market-turmoil-11723961309728.html,stocks,Buy shares of the company
Live Mint,Why Indian IT firms dread US economic uncertainty,https://www.livemint.com/economy/it-industry-it-firms-it-services-companies-us-economy-recession-jobs-employment-interest-rates-inflation-11723964443686.html,stocks,Hold/No action
Live Mint,Beyond the noise: Unpacking Q1 earnings surprises,https://www.livemint.com/news/india/q1-earnings-trends-june-quarter-indian-companies-growth-story-profits-non-core-revenue-stock-price-11723958096774.html,stocks,Hold/No action
Live Mint,One of India’s largest plastic recyclers has a new PET project. Investors love it.,https://www.livemint.com/companies/news/ganesha-ecosphere-share-price-pet-waste-recycling-r-pet-plastic-recycling-textile-industry-fmcg-epr-norms-esg-11723739797509.html,stocks,Buy shares of the company
Live Mint,Mint Primer: Seven economic moments to remember since 1947,https://www.livemint.com/economy/mint-primer-seven-economic-moments-to-remember-since-1947-independence-day-manmohan-liberalisation-green-revolution-11723646840035.html,stocks,Hold/No action
Live Mint,Premier Energies IPO to open on August 27; Here’s what GMP signals,https://www.livemint.com/market/stock-market-news/premier-energies-ipo-to-open-on-august-27-heres-what-gmp-signals-ahead-of-subscription-11724576392862.html,stocks,Hold/No action
Live Mint,"Market capitalisation of 9 of top 10 valued firms surges by  ₹95,522 crore",https://www.livemint.com/market/stock-market-news/market-capitalisation-of-9-of-top-10-valued-firms-surges-by-95-522-crore-reliance-tcs-among-top-gainers-11724572920990.html,stocks,Hold/No action
Live Mint,Is Indian stock market closed tomorrow for Janmashtami?,https://www.livemint.com/market/stock-market-news/stock-market-holidays-is-indian-stock-market-closed-on-monday-for-janmashtami-2024-date-11724461838029.html,stocks,Hold/No action
Live Mint,"IPOs this week: 9 companies expected to raise over  ₹4,000 crore",https://www.livemint.com/market/ipo/ipo-this-week-9-companies-including-3-mainboard-listings-and-6-smes-to-list-expected-to-raise-over-rs-4-000-crore-11724557298608.html,stocks,Hold/No action
Live Mint,Mutual Funds:  ₹1 lakh invested at the inception in this scheme grew to 70 lakh,https://www.livemint.com/money/personal-finance/magic-of-compounding-rs-1-lakh-invested-in-this-scheme-at-launch-would-have-grown-to-70-lakh-icici-pru-multi-asset-fund-11724498034140.html,stocks,Buy shares of the company
Live Mint,SEBI spends below 5 per cent of IPEF corpus on investors’ education: Report,https://www.livemint.com/money/sebi-spends-below-5-per-cent-of-ipef-corpus-on-education-awareness-of-investors-report-11724493335777.html,stocks,Buy shares of the company
Live Mint,"OnePlus Nord CE 4 gets a  ₹3,000 discount on Amazon. Should you buy?",https://www.livemint.com/technology/gadgets/oneplus-nord-ce-4-gets-a-massive-discount-on-amazon-available-effectively-for-under-rs-23000-11724475259681.html,stocks,Buy shares of the company
